Port,Service,Protocol,Description,Assignee
457,scohelp,tcp,scohelp,[Faith_Zack]
458,appleqtc,tcp,apple quick time,[Murali_Ranganathan]
459,ampr-rcmd,tcp,ampr-rcmd,[Rob_Janssen]
460,skronk,tcp,skronk,[Henry_Strickland]
461,datasurfsrv,tcp,DataRampSrv,
462,datasurfsrvsec,tcp,DataRampSrvSec,[Diane_Downie]
463,alpes,tcp,alpes,[Alain_Durand]
464,kpasswd,tcp,kpasswd,[Greg_Hudson_2]
465,urd,tcp,URL Rendezvous Directory for SSM,[Toerless_Eckert]
465,submissions,tcp,Message Submission over TLS protocol,[IESG]
466,digital-vrc,tcp,digital-vrc,[Peter_Higginson]
467,mylex-mapd,tcp,mylex-mapd,[Gary_Lewis]
468,photuris,tcp,proturis,[Bill_Simpson_2]
469,rcp,tcp,Radio Control Protocol,[Jim_Jennings]
470,scx-proxy,tcp,scx-proxy,[Scott_Narveson]
471,mondex,tcp,Mondex,[Bill_Reding]
472,ljk-login,tcp,ljk-login,[LJK]
473,hybrid-pop,tcp,hybrid-pop,[Rami_Rubin]
474,tn-tl-w1,tcp,tn-tl-w1,
475,tcpnethaspsrv,tcp,tcpnethaspsrv,[Michael_Zunke]
476,tn-tl-fd1,tcp,tn-tl-fd1,[Ed_Kress]
477,ss7ns,tcp,ss7ns,[Jean_Michel_URSCH]
478,spsc,tcp,spsc,[Mike_Rieker]
479,iafserver,tcp,iafserver,
480,iafdbase,tcp,iafdbase,[Rick_Yazwinski]
481,ph,tcp,Ph service,[Roland_Hedberg]
482,bgs-nsi,tcp,bgs-nsi,[Jon_Saperia]
483,ulpnet,tcp,ulpnet,[Kevin_Mooney]
484,integra-sme,tcp,Integra Software Management Environment,[Randall_Dow]
485,powerburst,tcp,Air Soft Power Burst,[gary]
486,avian,tcp,avian,[Robert_Ullmann_2]
487,saft,tcp,saft Simple Asynchronous File Transfer,[Ulli_Horlacher]
488,gss-http,tcp,gss-http,[Doug_Rosenthal]
489,nest-protocol,tcp,nest-protocol,[Gilles_Gameiro]
490,micom-pfs,tcp,micom-pfs,[David_Misunas]
491,go-login,tcp,go-login,[Troy_Morrison]
492,ticf-1,tcp,Transport Independent Convergence for FNA,
493,ticf-2,tcp,Transport Independent Convergence for FNA,[Mamoru_Ito]
494,pov-ray,tcp,POV-Ray,[POV_Team_Co_ordinato]
495,intecourier,tcp,intecourier,[Steve_Favor]
496,pim-rp-disc,tcp,PIM-RP-DISC,[Dino_Farinacci]
497,retrospect,tcp,Retrospect backup and restore service,[Retrospect_Inc]
498,siam,tcp,siam,[Philippe_Gilbert]
499,iso-ill,tcp,ISO ILL Protocol,[Mark_H_Needleman]
500,isakmp,tcp,isakmp,[Mark_Schertler]
501,stmf,tcp,STMF,[Alan_Ungar]
502,mbap,tcp,Modbus Application Protocol,[modbus.org]
503,intrinsa,tcp,Intrinsa,[Robert_Ford]
504,citadel,tcp,citadel,[Art_Cancro]
505,mailbox-lm,tcp,mailbox-lm,[Beverly_Moody]
506,ohimsrv,tcp,ohimsrv,[Scott_Powell]
507,crs,tcp,crs,[Brad_Wright]
508,xvttp,tcp,xvttp,[Keith_J_Alphonso]
509,snare,tcp,snare,[Dennis_Batchelder]
510,fcp,tcp,FirstClass Protocol,[Mike_Marshburn]
511,passgo,tcp,PassGo,[John_Rainford]
512,exec,tcp,remote process execution; authentication performed using passwords and UNIX login names,
513,login,tcp,"remote login a la telnet; automatic authentication performed based on priviledged port numbers and distributed data bases which identify ""authentication domains""",
514,shell,tcp,"cmd like exec, but automatic authentication is performed as for login server",
515,printer,tcp,spooler,
516,videotex,tcp,videotex,[Daniel_Mavrakis]
517,talk,tcp,"like tenex link, but across machine - unfortunately, doesn't use link protocol (this is actually just a rendezvous port from which a tcp connection is established)",
518,ntalk,tcp,,
519,utime,tcp,unixtime,
520,efs,tcp,extended file name server,
521,ripng,tcp,ripng,[Robert_E_Minnear]
522,ulp,tcp,ULP,[Max_Morris]
